_neo4jInternalId,assId,concept_id,database_type,displayLabel,exam_type,grade_id,paper_name,question_ids,standard_id,sub_institute_id,subject_id,syear,total_marks,total_ques
374667,4482,,,Assessment:SS,offline,12,SS,"69083,69084,69085,72113,72114,72115,72116",42,1,3975,2021,7,7
374668,4495,,,"Assessment:PAL Test",PAL,11,"PAL Test","76158,97605,76151,97613,89181,97612,97614,97624,76149,96819",39,1,3975,2021,10,10
374669,4595,,,Assessment:Testing,online,12,Testing,"69079,69080,69081,69082,69083",42,1,3975,2021,5,5
374670,4763,,,Assessment:A,online,11,A,,39,1,3975,2021,,
374671,4806,,,"Assessment:test notification 1 11-06-24",online,11,"test notification 1 11-06-24",,39,1,3978,2021,,
374672,4982,,,Assessment:SA-1,online,12,SA-1,"69084,102151,102152,102153,102154,102155,102156",42,1,3975,2021,7,7
374673,5062,,,"Assessment:exam eng 1",offline,11,"exam eng 1",,39,1,3978,2021,,
374674,5063,,,Assessment:eco-1,offline,12,eco-1,"103006,103007,103008",42,1,4472,2021,3,3
374675,5068,,,Assessment:Testing,online,12,Testing,"72115,72116,72117,72119,72120",42,1,3975,2021,5,5
374676,5494,,,"Assessment:PAL Test",PAL,11,"PAL Test","147340,147335,147339,147244,147332,147243,147336,147333,147246,147331",39,1,3975,2021,10,10
374677,5495,,,"Assessment:PAL Test",PAL,11,"PAL Test","147339,148058,147330,147331,147338,148061,147332,148053,147341,147336",39,1,3975,2021,10,10
374678,5496,,,"Assessment:PAL Test",PAL,11,"PAL Test","148050,147339,147242,147246,147341,147244,148054,147330,147337,148052",39,1,3975,2021,10,10
374679,5499,,,"Assessment:PAL Test",PAL,11,"PAL Test","148056,148055,148064,147333,147339,147246,148053,148052,148062,147336",39,1,3975,2021,10,10
374680,5500,,,"Assessment:PAL Test",PAL,11,"PAL Test","148056,148055,148064,147333,147339,147246,148053,148052,148062,147336",39,1,3975,2021,10,10
374681,5501,,,"Assessment:PAL Test",PAL,11,"PAL Test","148056,148055,148064,147333,147339,147246,148053,148052,148062,147336",39,1,3975,2021,10,10
374682,5502,,,"Assessment:PAL Test",PAL,11,"PAL Test","148056,148055,148064,147333,147339,147246,148053,148052,148062,147336",39,1,3975,2021,10,10
374683,5503,,,"Assessment:PAL Test",PAL,11,"PAL Test","148056,148055,148064,147333,147339,147246,148053,148052,148062,147336",39,1,3975,2021,10,10
374684,5504,,,"Assessment:PAL Test",PAL,11,"PAL Test","148064,147332,148055,147339,148061,148063,148057,148053,148050,148051",39,1,3975,2021,10,10
374685,5505,,,"Assessment:PAL Test",PAL,11,"PAL Test","148063,148054,148059,148057,148052,148060,148050,148064,147335,147332",39,1,3975,2021,10,10
374686,5506,,,"Assessment:PAL Test",PAL,11,"PAL Test","147335,147332,147333",39,1,3975,2021,3,3
374687,5507,,,"Assessment:PAL Test",PAL,11,"PAL Test","147336,147333,147332,147335",39,1,3975,2021,4,4
374688,5508,,,"Assessment:PAL Test",PAL,11,"PAL Test","147333,147332,147335,147336",39,1,3975,2021,4,4
374689,5509,,,"Assessment:PAL Test",PAL,11,"PAL Test","147335,147336,147332,147333",39,1,3975,2021,4,4
374690,5510,,,Assessment:Test-1,online,11,Test-1,,38,1,4120,2022,,
374691,5511,,,"Assessment:Maths Exam",online,12,"Maths Exam","70642,72718,72719,72720,70875,70876,70878,70879,70899,70900",42,1,3976,2021,10,10
374692,5515,,,Assessment:test,,1,test,"147335,147336,147332,147333",1,1,4064,,,
374693,5516,,,"Assessment:PAL Test",PAL,11,"PAL Test","147335,147332,147336,147333",39,1,3975,2021,4,4
374694,5572,,,"Assessment:PAL Test",PAL,11,"PAL Test","147336,147332,147335,147333",39,1,3975,2021,4,4
374695,5573,,,"Assessment:PAL Test",PAL,11,"PAL Test","147333,147336,147335,147332",39,1,3975,2021,4,4
374696,5602,,,"Assessment:PAL - Locating Places on the Earth - 20-04-2026",PAL,11,"PAL - Locating Places on the Earth - 20-04-2026",149472,39,1,4064,2021,1,1
374697,5603,,,"Assessment:PAL - The Wonderful World of Science - 20-04-2026",PAL,11,"PAL - The Wonderful World of Science - 20-04-2026","148059,148064,148058,148057,148054,148062,148061,148055,148051,148063",39,1,3975,2022,10,10
374698,5604,,,"Assessment:PAL - Locating Places on the Earth - 20-04-2026",PAL,11,"PAL - Locating Places on the Earth - 20-04-2026",149472,39,1,4064,2021,1,1
374699,5605,,,"Assessment:PAL - Locating Places on the Earth - 20-04-2026",PAL,11,"PAL - Locating Places on the Earth - 20-04-2026",149472,39,1,4064,2021,1,1
374700,5606,,,"Assessment:PAL - Locating Places on the Earth - 20-04-2026",PAL,11,"PAL - Locating Places on the Earth - 20-04-2026",149472,39,1,4064,2021,1,1
374701,5607,,,"Assessment:PAL - The Wonderful World of Science - 21-04-2026",PAL,11,"PAL - The Wonderful World of Science - 21-04-2026","147335,147332,147333,147336",39,1,3975,2022,4,4
374702,5627,,,"Assessment:PAL Test",PAL,11,"PAL Test","147332,147335,147336,147333",39,1,3975,2021,4,4
374703,5628,,,"Assessment:PAL Test",PAL,11,"PAL Test","147336,147333,147335,147332",39,1,3975,2021,4,4
374704,5657,,,"Assessment:PAL Test",PAL,11,"PAL Test","149753,149752,149755,149759,149750,149754,149751,149758",40,1,3975,,8,8
374705,5658,,,"Assessment:PAL Test",PAL,11,"PAL Test","149753,149755,149754,149752",40,1,3975,,4,4
374706,5659,,,"Assessment:test 2026-05-14 test",online,11,"test 2026-05-14 test","149750,149751,149752,149753",40,1,3975,2022,4,4
374707,5660,,,"Assessment:PAL Test",PAL,11,"PAL Test","149754,149755,149752,149753",40,1,3975,,4,4
374708,5661,3,,"Assessment:PAL Test",PAL,11,"PAL Test","149752,149755,149754,149753",40,1,3975,,4,4
374709,5662,3,,"Assessment:PAL test 19-05-2026",PAL,11,"PAL test 19-05-2026","149752,149754",40,1,3975,,,
374710,5664,,,"Assessment:PAL V4 Test 1",PAL,13,"PAL V4 Test 1","149761,149762,149763,149764,149765,149766,149767,149768,149769,149770,149771,149772,149773,149774,149775,149776",42,1,3976,2026,,
375438,5665,,local,"Assessment:test 27-05-2026",online,11,"test 27-05-2026","149750,149751,149752",40,1,3975,2022,3,3
